genre_name,movie_count,avg_popularity,avg_rating,avg_vote_count
Drama,3744,30.078,6.706,1373.263
Comedy,3031,37.874,6.383,1297.756
Action,2686,50.89,6.33,1812.612
Thriller,2488,42.946,6.246,1459.644
Adventure,1853,53.743,6.457,2328.046
Romance,1476,30.866,6.561,1222.057
Horror,1470,38.264,5.94,985.365
Animation,1438,52.428,6.846,1060.508
Family,1414,46.611,6.581,1447.401
Fantasy,1308,53.081,6.526,1928.089
Science Fiction,1273,49.511,6.257,2239.18
Crime,1242,44.747,6.552,1594.413
Mystery,773,40.094,6.434,1528.169
History,427,28.396,6.966,1234.323
War,308,35.298,6.949,1457.526
Music,295,33.771,6.879,1008.292
Documentary,215,29.235,6.664,177.786
TV Movie,214,29.955,6.438,319.818
Western,137,36.188,6.755,1363.942
Unknown,1,21.195,6.5,444.0
