language_name,movie_count,avg_popularity,avg_rating
English,7569,41.757,6.371
Japanese,645,40.723,6.979
Spanish,339,37.969,6.576
French,292,32.921,6.315
Chinese,238,26.869,6.645
Korean,170,33.513,6.781
Italian,123,25.89,6.529
Russian,83,39.658,6.855
German,82,25.943,6.729
Portuguese,37,34.459,6.476
Danish,28,22.422,6.607
Norwegian,26,27.515,6.431
Hindi,26,85.932,6.627
Swedish,23,21.161,7.022
Dutch,21,24.479,6.333
Thai,17,60.87,6.535
Polish,17,53.81,6.112
ID,15,26.7,5.533
Turkish,15,71.631,6.447
TL,8,21.157,4.325
TE,6,30.46,5.35
SR,5,19.191,5.7
FI,5,39.041,6.22
EL,5,16.51,6.76
CS,4,16.702,7.3
HU,3,14.395,7.333
FA,3,19.228,7.567
UK,2,19.582,7.65
TA,2,15.726,6.4
IS,2,24.312,6.65
RO,2,30.179,6.25
AR,2,17.296,7.45
HE,2,14.744,6.2
BN,1,18.059,5.3
CA,1,17.214,6.0
EU,1,21.859,6.4
ET,1,13.822,7.0
LV,1,21.54,0.0
LA,1,17.138,7.1
MS,1,18.416,7.7
ML,1,151.512,7.2
NB,1,22.41,6.7
UNKNOWN,1,21.195,6.5
