title,release_year,primary_genre,language_name,vote_average_original,vote_count_original,popularity_original,weighted_score
The Shawshank Redemption,1994,Drama,English,8.7,20911,87.669,8.7
The Godfather,1972,Drama,English,8.7,15614,93.136,8.7
Dilwale Dulhania Le Jayenge,1995,Comedy,Hindi,8.7,3474,29.087,8.7
The Godfather: Part II,1974,Drama,English,8.6,9393,65.324,8.6
Schindler's List,1993,Drama,English,8.6,12474,55.225,8.6
The Dark Knight,2008,Drama,English,8.5,26994,173.923,8.5
Spirited Away,2001,Animation,Japanese,8.5,12531,104.215,8.5
The Lord of the Rings: The Return of the King,2003,Adventure,English,8.5,19183,118.609,8.5
Your Name.,2016,Romance,Japanese,8.5,8426,155.483,8.5
12 Angry Men,1957,Drama,English,8.5,6227,34.638,8.5
Cinema Paradiso,1988,Drama,Italian,8.5,3259,19.717,8.5
Pulp Fiction,1994,Thriller,English,8.5,22733,55.352,8.5
Life Is Beautiful,1997,Comedy,Italian,8.5,10903,60.184,8.5
GoodFellas,1990,Drama,English,8.5,9860,44.572,8.5
"The Good, the Bad and the Ugly",1966,Western,Italian,8.5,6479,45.733,8.5
The Green Mile,1999,Fantasy,English,8.5,13604,81.142,8.5
Forrest Gump,1994,Comedy,English,8.5,22308,62.636,8.5
Parasite,2019,Comedy,Korean,8.5,13240,108.442,8.5
Rear Window,1954,Thriller,English,8.4,5001,23.872,8.4
Howl's Moving Castle,2004,Fantasy,Japanese,8.4,7147,88.272,8.4
Princess Mononoke,1997,Adventure,Japanese,8.4,6148,49.163,8.4
Whiplash,2014,Drama,English,8.4,11923,51.21,8.4
American History X,1998,Drama,English,8.4,9399,40.342,8.4
Inception,2010,Action,English,8.4,31077,127.131,8.4
Fight Club,1999,Drama,English,8.4,23620,121.653,8.4
