release_year,movie_count,avg_popularity,avg_rating
1902,1,18.356,8.0
1920,1,17.858,8.0
1921,2,14.854,8.05
1922,2,21.901,7.65
1925,1,18.663,7.7
1926,2,14.451,8.0
1927,2,16.302,7.7
1929,1,16.172,7.5
1930,1,14.515,7.8
1931,5,17.737,7.7
1932,5,16.89,7.3
1933,4,17.338,7.025
1935,3,15.348,7.433
1936,2,17.614,7.25
1937,2,58.415,7.1
1938,5,16.211,7.3
1939,6,24.874,7.5
1940,6,35.88,7.65
1941,6,27.749,7.267
1942,4,36.52,6.925
1943,4,14.786,6.8
1944,3,18.65,7.333
1945,2,17.162,7.4
1946,8,19.817,7.5
1947,5,15.654,7.3
1948,6,16.026,7.6
1949,6,20.36,7.3
1950,7,31.164,7.757
1951,7,27.171,7.486
1952,7,15.399,7.314
1953,10,22.909,7.31
1954,12,17.493,7.475
1955,10,21.261,7.14
1956,12,19.849,6.975
1957,12,18.631,7.708
1958,11,17.325,7.4
1959,13,27.183,7.554
1960,16,20.015,7.412
1961,17,22.171,7.224
1962,17,19.926,7.494
1963,22,21.16,7.182
1964,20,19.668,7.47
1965,21,18.865,7.105
1966,19,20.472,7.226
1967,24,21.418,7.192
1968,25,19.675,7.112
1969,24,17.53,6.708
1970,15,19.959,6.613
1971,23,21.84,7.043
1972,20,30.306,7.055
1973,40,19.92,6.895
1974,21,23.414,6.943
1975,23,20.209,6.761
1976,22,21.451,6.845
1977,37,21.314,6.365
1978,34,23.238,6.603
1979,34,22.222,6.891
1980,45,19.84,6.527
1981,48,22.951,6.615
1982,46,21.773,6.507
1983,52,20.009,6.363
1984,57,23.697,6.682
1985,80,22.592,6.512
1986,68,29.354,6.49
1987,73,20.729,6.705
1988,82,23.41,6.602
1989,80,26.717,6.502
1990,76,25.68,6.557
1991,83,24.62,6.566
1992,89,25.102,6.496
1993,118,24.831,6.616
1994,103,26.139,6.405
1995,113,26.423,6.569
1996,96,22.944,6.384
1997,117,26.408,6.526
1998,130,24.702,6.498
1999,125,26.242,6.51
2000,138,25.096,6.471
2001,164,28.665,6.448
2002,165,28.522,6.461
2003,182,27.663,6.368
2004,205,29.679,6.508
2005,216,27.399,6.288
2006,237,26.791,6.392
2007,245,29.138,6.436
2008,250,29.263,6.326
2009,291,36.993,6.319
2010,279,36.37,6.42
2011,316,33.209,6.393
2012,285,34.928,6.347
2013,348,31.704,6.384
2014,371,34.617,6.377
2015,390,32.029,6.365
2016,470,31.412,6.353
2017,510,31.193,6.423
2018,530,29.348,6.473
2019,500,34.885,6.673
2020,453,42.192,6.621
2021,714,115.253,6.585
2022,208,223.867,3.636
2023,8,60.779,0.0
2024,1,27.987,0.0
